cell_id,cell_state,dataset,n_genes,n_tokens,label
527,activated,PERIHEART,1554,1554,1
528,activated,PERIHEART,1963,1963,1
531,activated,PERIHEART,1788,1788,1
533,activated,PERIHEART,2048,2048,1
534,activated,PERIHEART,1944,1944,1
535,activated,PERIHEART,2048,2048,1
537,activated,PERIHEART,2048,2048,1
540,activated,PERIHEART,1815,1815,1
542,activated,PERIHEART,2048,2048,1
543,activated,PERIHEART,2048,2048,1
545,activated,PERIHEART,2048,2048,1
548,activated,PERIHEART,1885,1885,1
550,activated,PERIHEART,1459,1459,1
554,activated,PERIHEART,1608,1608,1
562,activated,PERIHEART,2048,2048,1
563,activated,PERIHEART,2048,2048,1
564,activated,PERIHEART,2048,2048,1
576,activated,PERIHEART,2048,2048,1
577,activated,PERIHEART,2048,2048,1
581,activated,PERIHEART,2048,2048,1
583,activated,PERIHEART,2048,2048,1
584,activated,PERIHEART,1417,1417,1
590,activated,PERIHEART,1946,1946,1
612,activated,PERIHEART,1928,1928,1
614,activated,PERIHEART,2048,2048,1
616,activated,PERIHEART,1489,1489,1
618,activated,PERIHEART,2048,2048,1
620,activated,PERIHEART,1730,1730,1
621,activated,PERIHEART,2048,2048,1
622,activated,PERIHEART,2048,2048,1
627,activated,PERIHEART,1604,1604,1
634,activated,PERIHEART,2048,2048,1
638,activated,PERIHEART,1626,1626,1
648,activated,PERIHEART,1332,1332,1
652,activated,PERIHEART,2048,2048,1
653,activated,PERIHEART,1246,1246,1
658,activated,PERIHEART,2048,2048,1
661,activated,PERIHEART,2048,2048,1
666,activated,PERIHEART,2048,2048,1
672,activated,PERIHEART,1070,1070,1
676,activated,PERIHEART,1417,1417,1
687,activated,PERIHEART,2048,2048,1
696,activated,PERIHEART,2048,2048,1
703,activated,PERIHEART,1781,1781,1
704,activated,PERIHEART,2048,2048,1
707,activated,PERIHEART,2048,2048,1
708,activated,PERIHEART,2048,2048,1
711,activated,PERIHEART,2048,2048,1
714,activated,PERIHEART,2048,2048,1
717,activated,PERIHEART,1870,1870,1
718,activated,PERIHEART,2048,2048,1
732,activated,PERIHEART,2048,2048,1
734,activated,PERIHEART,1951,1951,1
736,activated,PERIHEART,2048,2048,1
740,activated,PERIHEART,2048,2048,1
744,activated,PERIHEART,2048,2048,1
749,activated,PERIHEART,2048,2048,1
753,activated,PERIHEART,2048,2048,1
754,activated,PERIHEART,2048,2048,1
757,activated,PERIHEART,1740,1740,1
762,activated,PERIHEART,1112,1112,1
765,activated,PERIHEART,1913,1913,1
771,activated,PERIHEART,1817,1817,1
777,activated,PERIHEART,2048,2048,1
782,activated,PERIHEART,1752,1752,1
784,activated,PERIHEART,1517,1517,1
786,activated,PERIHEART,2048,2048,1
787,activated,PERIHEART,1940,1940,1
790,activated,PERIHEART,1435,1435,1
791,activated,PERIHEART,1406,1406,1
802,activated,PERIHEART,1945,1945,1
803,activated,PERIHEART,996,996,1
809,activated,PERIHEART,2048,2048,1
811,activated,PERIHEART,1596,1596,1
814,activated,PERIHEART,2048,2048,1
816,activated,PERIHEART,2048,2048,1
818,activated,PERIHEART,1606,1606,1
819,activated,PERIHEART,2048,2048,1
820,activated,PERIHEART,1787,1787,1
821,activated,PERIHEART,2048,2048,1
823,activated,PERIHEART,2048,2048,1
828,activated,PERIHEART,1080,1080,1
834,activated,PERIHEART,2048,2048,1
836,activated,PERIHEART,1044,1044,1
838,activated,PERIHEART,2048,2048,1
842,activated,PERIHEART,2048,2048,1
844,activated,PERIHEART,1713,1713,1
845,activated,PERIHEART,2048,2048,1
853,activated,PERIHEART,2048,2048,1
854,activated,PERIHEART,1278,1278,1
861,activated,PERIHEART,2048,2048,1
870,activated,PERIHEART,1948,1948,1
871,activated,PERIHEART,1882,1882,1
874,activated,PERIHEART,2048,2048,1
880,activated,PERIHEART,2048,2048,1
881,activated,PERIHEART,2048,2048,1
884,activated,PERIHEART,2048,2048,1
885,activated,PERIHEART,1994,1994,1
887,activated,PERIHEART,2048,2048,1
892,activated,PERIHEART,2048,2048,1
895,activated,PERIHEART,2048,2048,1
896,activated,PERIHEART,2048,2048,1
897,activated,PERIHEART,2048,2048,1
898,activated,PERIHEART,1909,1909,1
900,activated,PERIHEART,1847,1847,1
902,activated,PERIHEART,2048,2048,1
905,activated,PERIHEART,2048,2048,1
906,activated,PERIHEART,2048,2048,1
907,activated,PERIHEART,2048,2048,1
909,activated,PERIHEART,1546,1546,1
912,activated,PERIHEART,1423,1423,1
918,activated,PERIHEART,2048,2048,1
919,activated,PERIHEART,2048,2048,1
920,activated,PERIHEART,2048,2048,1
921,activated,PERIHEART,2048,2048,1
929,activated,PERIHEART,2048,2048,1
932,activated,PERIHEART,2048,2048,1
934,activated,PERIHEART,1966,1966,1
937,activated,PERIHEART,1706,1706,1
942,activated,PERIHEART,2048,2048,1
946,activated,PERIHEART,2048,2048,1
947,activated,PERIHEART,1656,1656,1
949,activated,PERIHEART,1585,1585,1
954,activated,PERIHEART,1695,1695,1
956,activated,PERIHEART,2048,2048,1
958,activated,PERIHEART,2048,2048,1
959,activated,PERIHEART,2048,2048,1
963,activated,PERIHEART,1512,1512,1
966,activated,PERIHEART,2048,2048,1
968,activated,PERIHEART,1679,1679,1
971,activated,PERIHEART,1824,1824,1
972,activated,PERIHEART,2048,2048,1
976,activated,PERIHEART,2048,2048,1
984,activated,PERIHEART,1845,1845,1
986,activated,PERIHEART,1712,1712,1
989,activated,PERIHEART,2048,2048,1
995,activated,PERIHEART,1802,1802,1
996,activated,PERIHEART,1422,1422,1
999,activated,PERIHEART,1610,1610,1
1003,activated,PERIHEART,1645,1645,1
1004,activated,PERIHEART,1736,1736,1
1005,activated,PERIHEART,2048,2048,1
1008,activated,PERIHEART,1356,1356,1
1010,activated,PERIHEART,2048,2048,1
1012,activated,PERIHEART,2048,2048,1
1018,activated,PERIHEART,2048,2048,1
1021,activated,PERIHEART,1664,1664,1
1023,activated,PERIHEART,2048,2048,1
1024,activated,PERIHEART,2048,2048,1
1025,activated,PERIHEART,2048,2048,1
1026,activated,PERIHEART,1798,1798,1
1032,activated,PERIHEART,2048,2048,1
1039,activated,PERIHEART,1961,1961,1
1040,activated,PERIHEART,2048,2048,1
1044,activated,PERIHEART,1693,1693,1
1047,activated,PERIHEART,2048,2048,1
1051,activated,PERIHEART,1719,1719,1
1053,activated,PERIHEART,2048,2048,1
1055,activated,PERIHEART,2048,2048,1
1058,activated,PERIHEART,1746,1746,1
1063,activated,PERIHEART,2048,2048,1
1066,activated,PERIHEART,2048,2048,1
1067,activated,PERIHEART,1723,1723,1
1069,activated,PERIHEART,1980,1980,1
1070,activated,PERIHEART,2048,2048,1
1071,activated,PERIHEART,1769,1769,1
1074,activated,PERIHEART,2048,2048,1
1081,activated,PERIHEART,1911,1911,1
1082,activated,PERIHEART,2048,2048,1
1085,activated,PERIHEART,1934,1934,1
1090,activated,PERIHEART,2048,2048,1
1093,activated,PERIHEART,1662,1662,1
1101,activated,PERIHEART,1956,1956,1
1107,activated,PERIHEART,2048,2048,1
1109,activated,PERIHEART,2017,2017,1
1118,activated,PERIHEART,1677,1677,1
1119,activated,PERIHEART,1689,1689,1
1121,activated,PERIHEART,2048,2048,1
1128,activated,PERIHEART,2048,2048,1
1130,activated,PERIHEART,2048,2048,1
1134,activated,PERIHEART,2048,2048,1
1135,activated,PERIHEART,2048,2048,1
1139,activated,PERIHEART,2048,2048,1
1140,activated,PERIHEART,2048,2048,1
1145,activated,PERIHEART,2048,2048,1
1152,activated,PERIHEART,2048,2048,1
1156,activated,PERIHEART,1967,1967,1
1163,activated,PERIHEART,1714,1714,1
1164,activated,PERIHEART,2048,2048,1
1167,activated,PERIHEART,1895,1895,1
1168,activated,PERIHEART,1470,1470,1
1170,activated,PERIHEART,2048,2048,1
1171,activated,PERIHEART,1887,1887,1
1173,activated,PERIHEART,2048,2048,1
1176,activated,PERIHEART,2048,2048,1
1178,activated,PERIHEART,1443,1443,1
1187,activated,PERIHEART,1642,1642,1
1192,activated,PERIHEART,2048,2048,1
1204,activated,PERIHEART,2048,2048,1
1217,activated,PERIHEART,2048,2048,1
1218,activated,PERIHEART,2014,2014,1
1219,activated,PERIHEART,1229,1229,1
1228,activated,PERIHEART,2048,2048,1
1232,activated,PERIHEART,2048,2048,1
1239,activated,PERIHEART,2048,2048,1
1243,activated,PERIHEART,2048,2048,1
1246,activated,PERIHEART,1482,1482,1
1254,activated,PERIHEART,2048,2048,1
1255,activated,PERIHEART,2048,2048,1
1257,activated,PERIHEART,2048,2048,1
1260,activated,PERIHEART,2048,2048,1
1261,activated,PERIHEART,2013,2013,1
1267,activated,PERIHEART,2048,2048,1
1280,activated,PERIHEART,2048,2048,1
1293,activated,PERIHEART,2012,2012,1
1294,activated,PERIHEART,2048,2048,1
1297,activated,PERIHEART,2048,2048,1
1298,activated,PERIHEART,1622,1622,1
1306,activated,PERIHEART,2048,2048,1
1308,activated,PERIHEART,2048,2048,1
1309,activated,PERIHEART,2048,2048,1
1310,activated,PERIHEART,1405,1405,1
1315,activated,PERIHEART,2048,2048,1
1316,activated,PERIHEART,2048,2048,1
1322,activated,PERIHEART,2048,2048,1
1323,activated,PERIHEART,1926,1926,1
1325,activated,PERIHEART,2048,2048,1
1333,activated,PERIHEART,2048,2048,1
1334,activated,PERIHEART,2048,2048,1
1337,activated,PERIHEART,1603,1603,1
1339,activated,PERIHEART,2048,2048,1
1340,activated,PERIHEART,1208,1208,1
1343,activated,PERIHEART,2048,2048,1
1349,activated,PERIHEART,1999,1999,1
1353,activated,PERIHEART,2048,2048,1
1354,activated,PERIHEART,1853,1853,1
1359,activated,PERIHEART,1262,1262,1
1363,activated,PERIHEART,1769,1769,1
1366,activated,PERIHEART,1778,1778,1
1367,activated,PERIHEART,1702,1702,1
1368,activated,PERIHEART,2048,2048,1
1369,activated,PERIHEART,2048,2048,1
1370,activated,PERIHEART,2021,2021,1
1372,activated,PERIHEART,1518,1518,1
1373,activated,PERIHEART,1440,1440,1
1374,activated,PERIHEART,2048,2048,1
1375,activated,PERIHEART,2048,2048,1
1381,activated,PERIHEART,2048,2048,1
1382,activated,PERIHEART,2048,2048,1
1385,activated,PERIHEART,1821,1821,1
1387,activated,PERIHEART,2048,2048,1
1390,activated,PERIHEART,1754,1754,1
1393,activated,PERIHEART,2048,2048,1
1394,activated,PERIHEART,2048,2048,1
1397,activated,PERIHEART,2048,2048,1
1402,activated,PERIHEART,2048,2048,1
1407,activated,PERIHEART,1831,1831,1
1411,activated,PERIHEART,1686,1686,1
1412,activated,PERIHEART,2048,2048,1
1414,activated,PERIHEART,1808,1808,1
1417,activated,PERIHEART,2048,2048,1
1418,activated,PERIHEART,2048,2048,1
1421,activated,PERIHEART,2048,2048,1
1425,activated,PERIHEART,2048,2048,1
1429,activated,PERIHEART,1760,1760,1
1431,activated,PERIHEART,2048,2048,1
1435,activated,PERIHEART,2048,2048,1
1437,activated,PERIHEART,1564,1564,1
1442,activated,PERIHEART,2048,2048,1
1444,activated,PERIHEART,1848,1848,1
1445,activated,PERIHEART,1915,1915,1
1446,activated,PERIHEART,1184,1184,1
1448,activated,PERIHEART,1670,1670,1
1449,activated,PERIHEART,1719,1719,1
1452,activated,PERIHEART,2048,2048,1
1455,activated,PERIHEART,2048,2048,1
1456,activated,PERIHEART,2048,2048,1
1464,activated,PERIHEART,2048,2048,1
1479,activated,PERIHEART,1486,1486,1
1481,activated,PERIHEART,2048,2048,1
1488,activated,PERIHEART,2048,2048,1
1490,activated,PERIHEART,2048,2048,1
1491,activated,PERIHEART,1791,1791,1
1492,activated,PERIHEART,2048,2048,1
1493,activated,PERIHEART,1508,1508,1
1494,activated,PERIHEART,1070,1070,1
1498,activated,PERIHEART,2048,2048,1
1501,activated,PERIHEART,2048,2048,1
1502,activated,PERIHEART,2048,2048,1
1503,activated,PERIHEART,2048,2048,1
1506,activated,PERIHEART,1228,1228,1
1507,activated,PERIHEART,1454,1454,1
1509,activated,PERIHEART,2048,2048,1
1511,activated,PERIHEART,1920,1920,1
1521,activated,PERIHEART,2048,2048,1
1523,activated,PERIHEART,2048,2048,1
1525,activated,PERIHEART,2048,2048,1
1529,activated,PERIHEART,1999,1999,1
1532,activated,PERIHEART,1739,1739,1
1535,activated,PERIHEART,1979,1979,1
1538,activated,PERIHEART,1656,1656,1
1540,activated,PERIHEART,2017,2017,1
1541,activated,PERIHEART,1883,1883,1
1542,activated,PERIHEART,1811,1811,1
1545,activated,PERIHEART,2048,2048,1
1546,activated,PERIHEART,2048,2048,1
1549,activated,PERIHEART,1839,1839,1
1560,activated,PERIHEART,1273,1273,1
1561,activated,PERIHEART,1478,1478,1
1564,activated,PERIHEART,1873,1873,1
1565,activated,PERIHEART,1390,1390,1
1569,activated,PERIHEART,1974,1974,1
1574,activated,PERIHEART,2048,2048,1
1581,activated,PERIHEART,2048,2048,1
1582,activated,PERIHEART,1368,1368,1
1583,activated,PERIHEART,1742,1742,1
1585,activated,PERIHEART,1790,1790,1
1586,activated,PERIHEART,2002,2002,1
1590,activated,PERIHEART,2048,2048,1
1591,activated,PERIHEART,1231,1231,1
1599,activated,PERIHEART,1031,1031,1
1604,activated,PERIHEART,1633,1633,1
1606,activated,PERIHEART,2047,2047,1
1617,activated,PERIHEART,2048,2048,1
1624,activated,PERIHEART,1863,1863,1
1627,activated,PERIHEART,1553,1553,1
1630,activated,PERIHEART,2048,2048,1
1633,activated,PERIHEART,2048,2048,1
1644,activated,PERIHEART,2048,2048,1
1650,activated,PERIHEART,1725,1725,1
1654,activated,PERIHEART,2048,2048,1
1655,activated,PERIHEART,2048,2048,1
1661,activated,PERIHEART,2048,2048,1
1670,activated,PERIHEART,2048,2048,1
1671,activated,PERIHEART,2048,2048,1
1673,activated,PERIHEART,2048,2048,1
1676,activated,PERIHEART,1582,1582,1
1678,activated,PERIHEART,2048,2048,1
1680,activated,PERIHEART,2048,2048,1
1682,activated,PERIHEART,2048,2048,1
1684,activated,PERIHEART,2048,2048,1
1686,activated,PERIHEART,1844,1844,1
1687,activated,PERIHEART,1476,1476,1
1689,activated,PERIHEART,1675,1675,1
1692,activated,PERIHEART,1473,1473,1
1694,activated,PERIHEART,2048,2048,1
1695,activated,PERIHEART,1925,1925,1
1696,activated,PERIHEART,2048,2048,1
1701,activated,PERIHEART,2048,2048,1
1703,activated,PERIHEART,1767,1767,1
1704,activated,PERIHEART,1644,1644,1
1705,activated,PERIHEART,2037,2037,1
1706,activated,PERIHEART,2048,2048,1
1708,activated,PERIHEART,1981,1981,1
1712,activated,PERIHEART,1908,1908,1
1713,activated,PERIHEART,1646,1646,1
1717,activated,PERIHEART,1728,1728,1
1718,activated,PERIHEART,2048,2048,1
1719,activated,PERIHEART,1834,1834,1
1722,activated,PERIHEART,1323,1323,1
1725,activated,PERIHEART,2048,2048,1
1736,activated,PERIHEART,2048,2048,1
1742,activated,PERIHEART,1639,1639,1
1749,activated,PERIHEART,1882,1882,1
1751,activated,PERIHEART,1520,1520,1
1752,activated,PERIHEART,1293,1293,1
1754,activated,PERIHEART,1499,1499,1
1755,activated,PERIHEART,2048,2048,1
1760,activated,PERIHEART,2009,2009,1
1762,activated,PERIHEART,2048,2048,1
1763,activated,PERIHEART,1286,1286,1
1764,activated,PERIHEART,1290,1290,1
1768,activated,PERIHEART,1513,1513,1
1769,activated,PERIHEART,1760,1760,1
1772,activated,PERIHEART,2048,2048,1
1773,activated,PERIHEART,2048,2048,1
1775,activated,PERIHEART,2048,2048,1
1780,activated,PERIHEART,1866,1866,1
1784,activated,PERIHEART,2048,2048,1
1787,activated,PERIHEART,2002,2002,1
1789,activated,PERIHEART,2048,2048,1
1793,activated,PERIHEART,1995,1995,1
1806,activated,PERIHEART,2048,2048,1
1807,activated,PERIHEART,1590,1590,1
1812,activated,PERIHEART,2048,2048,1
1813,activated,PERIHEART,2048,2048,1
1826,activated,PERIHEART,1323,1323,1
1829,activated,PERIHEART,2048,2048,1
1832,activated,PERIHEART,2048,2048,1
1836,activated,PERIHEART,1701,1701,1
1841,activated,PERIHEART,1931,1931,1
1843,activated,PERIHEART,2048,2048,1
1846,activated,PERIHEART,1769,1769,1
1847,activated,PERIHEART,1370,1370,1
1850,activated,PERIHEART,2048,2048,1
1854,activated,PERIHEART,2048,2048,1
1861,activated,PERIHEART,1869,1869,1
1869,activated,PERIHEART,2048,2048,1
1870,activated,PERIHEART,2048,2048,1
1873,activated,PERIHEART,2048,2048,1
1875,activated,PERIHEART,2048,2048,1
1876,activated,PERIHEART,2048,2048,1
1884,activated,PERIHEART,2048,2048,1
1887,activated,PERIHEART,2048,2048,1
1889,activated,PERIHEART,2048,2048,1
1892,activated,PERIHEART,1654,1654,1
1893,activated,PERIHEART,2048,2048,1
1894,activated,PERIHEART,2048,2048,1
1895,activated,PERIHEART,2048,2048,1
1896,activated,PERIHEART,2048,2048,1
1901,activated,PERIHEART,2048,2048,1
1905,activated,PERIHEART,1817,1817,1
1913,activated,PERIHEART,2048,2048,1
1919,activated,PERIHEART,2037,2037,1
1921,activated,PERIHEART,2048,2048,1
1925,activated,PERIHEART,1523,1523,1
1927,activated,PERIHEART,1996,1996,1
1931,activated,PERIHEART,1789,1789,1
1941,activated,PERIHEART,2048,2048,1
1945,activated,PERIHEART,2048,2048,1
1946,activated,PERIHEART,1685,1685,1
1947,activated,PERIHEART,2048,2048,1
1949,activated,PERIHEART,1799,1799,1
1955,activated,PERIHEART,1614,1614,1
1965,activated,PERIHEART,2048,2048,1
1968,activated,PERIHEART,2048,2048,1
1969,activated,PERIHEART,1530,1530,1
1971,activated,PERIHEART,1761,1761,1
1972,activated,PERIHEART,1466,1466,1
1977,activated,PERIHEART,2048,2048,1
1978,activated,PERIHEART,2048,2048,1
1981,activated,PERIHEART,1884,1884,1
1984,activated,PERIHEART,1374,1374,1
1987,activated,PERIHEART,2048,2048,1
1989,activated,PERIHEART,1278,1278,1
1994,activated,PERIHEART,2048,2048,1
1995,activated,PERIHEART,2048,2048,1
1996,activated,PERIHEART,1616,1616,1
1998,activated,PERIHEART,983,983,1
2005,activated,PERIHEART,2048,2048,1
2009,activated,PERIHEART,2048,2048,1
2011,activated,PERIHEART,1569,1569,1
2014,activated,PERIHEART,1667,1667,1
2016,activated,PERIHEART,2048,2048,1
2017,activated,PERIHEART,2040,2040,1
2022,activated,PERIHEART,2048,2048,1
2025,activated,PERIHEART,1869,1869,1
2030,activated,PERIHEART,1620,1620,1
2031,activated,PERIHEART,2048,2048,1
2037,activated,PERIHEART,2004,2004,1
2039,activated,PERIHEART,2048,2048,1
2040,activated,PERIHEART,2048,2048,1
2046,activated,PERIHEART,2048,2048,1
2048,activated,PERIHEART,902,902,1
2051,activated,PERIHEART,2048,2048,1
2053,activated,PERIHEART,1818,1818,1
2054,activated,PERIHEART,1718,1718,1
2062,activated,PERIHEART,1966,1966,1
2069,activated,PERIHEART,2048,2048,1
2075,activated,PERIHEART,1706,1706,1
2085,activated,PERIHEART,1269,1269,1
2087,activated,PERIHEART,1998,1998,1
2091,activated,PERIHEART,2048,2048,1
2092,activated,PERIHEART,1612,1612,1
2095,activated,PERIHEART,1969,1969,1
2105,activated,PERIHEART,1979,1979,1
2110,activated,PERIHEART,1512,1512,1
2120,activated,PERIHEART,1797,1797,1
2123,activated,PERIHEART,2048,2048,1
2131,activated,PERIHEART,2048,2048,1
2133,activated,PERIHEART,2027,2027,1
2138,activated,PERIHEART,2048,2048,1
