,feature_is_filtered,feature_name,feature_reference,feature_biotype,feature_length,feature_type,ensembl_id
ENSG00000285100,False,ENSG00000285100,NCBITaxon:9606,gene,3243,lncRNA,ENSG00000285100
ENSG00000132406,False,TMEM128,NCBITaxon:9606,gene,1490,protein_coding,ENSG00000132406
ENSG00000232903,False,LINC01166,NCBITaxon:9606,gene,540,lncRNA,ENSG00000232903
ENSG00000151353,False,TMEM18,NCBITaxon:9606,gene,1706,protein_coding,ENSG00000151353
ENSG00000106305,False,AIMP2,NCBITaxon:9606,gene,983,protein_coding,ENSG00000106305
ENSG00000143631,False,FLG,NCBITaxon:9606,gene,12793,protein_coding,ENSG00000143631
ENSG00000156860,False,FBRS,NCBITaxon:9606,gene,1316,protein_coding,ENSG00000156860
ENSG00000142856,False,ITGB3BP,NCBITaxon:9606,gene,945,protein_coding,ENSG00000142856
ENSG00000119335,False,SET,NCBITaxon:9606,gene,1406,protein_coding,ENSG00000119335
ENSG00000074276,False,CDHR2,NCBITaxon:9606,gene,849,protein_coding,ENSG00000074276
ENSG00000073578,False,SDHA,NCBITaxon:9606,gene,935,protein_coding,ENSG00000073578
ENSG00000123384,False,LRP1,NCBITaxon:9606,gene,1488,protein_coding,ENSG00000123384
ENSG00000116132,False,PRRX1,NCBITaxon:9606,gene,557,protein_coding,ENSG00000116132
ENSG00000262420,False,TXNDC11-AS1,NCBITaxon:9606,gene,701,lncRNA,ENSG00000262420
ENSG00000100425,False,BRD1,NCBITaxon:9606,gene,4236,protein_coding,ENSG00000100425
ENSG00000053328,False,METTL24,NCBITaxon:9606,gene,1980,protein_coding,ENSG00000053328
ENSG00000115523,False,GNLY,NCBITaxon:9606,gene,817,protein_coding,ENSG00000115523
ENSG00000120280,False,TASL,NCBITaxon:9606,gene,1792,protein_coding,ENSG00000120280
ENSG00000251637,False,LINC02754,NCBITaxon:9606,gene,599,lncRNA,ENSG00000251637
ENSG00000188191,False,PRKAR1B,NCBITaxon:9606,gene,820,protein_coding,ENSG00000188191
ENSG00000270482,False,ENSG00000270482,NCBITaxon:9606,gene,651,lncRNA,ENSG00000270482
ENSG00000127481,False,UBR4,NCBITaxon:9606,gene,891,protein_coding,ENSG00000127481
ENSG00000237742,False,HEY2-AS1,NCBITaxon:9606,gene,535,lncRNA,ENSG00000237742
ENSG00000254122,False,PCDHGB7,NCBITaxon:9606,gene,3780,protein_coding,ENSG00000254122
ENSG00000175946,False,KLHL38,NCBITaxon:9606,gene,2621,protein_coding,ENSG00000175946
ENSG00000274695,False,ENSG00000274695,NCBITaxon:9606,gene,744,lncRNA,ENSG00000274695
ENSG00000095637,False,SORBS1,NCBITaxon:9606,gene,3015,protein_coding,ENSG00000095637
ENSG00000104967,False,NOVA2,NCBITaxon:9606,gene,4410,protein_coding,ENSG00000104967
ENSG00000254734,False,ENSG00000254734,NCBITaxon:9606,gene,576,lncRNA,ENSG00000254734
ENSG00000137558,False,PI15,NCBITaxon:9606,gene,2881,protein_coding,ENSG00000137558
ENSG00000213888,False,LINC01521,NCBITaxon:9606,gene,1248,lncRNA,ENSG00000213888
ENSG00000114209,False,PDCD10,NCBITaxon:9606,gene,760,protein_coding,ENSG00000114209
ENSG00000104723,False,TUSC3,NCBITaxon:9606,gene,1203,protein_coding,ENSG00000104723
ENSG00000167065,False,DUSP18,NCBITaxon:9606,gene,1231,protein_coding,ENSG00000167065
ENSG00000258791,False,LINC00520,NCBITaxon:9606,gene,801,lncRNA,ENSG00000258791
ENSG00000165195,False,PIGA,NCBITaxon:9606,gene,1092,protein_coding,ENSG00000165195
ENSG00000231013,False,SCTR-AS1,NCBITaxon:9606,gene,2051,lncRNA,ENSG00000231013
ENSG00000183918,False,SH2D1A,NCBITaxon:9606,gene,2115,protein_coding,ENSG00000183918
ENSG00000235470,False,NEURL1-AS1,NCBITaxon:9606,gene,498,lncRNA,ENSG00000235470
ENSG00000064300,False,NGFR,NCBITaxon:9606,gene,1840,protein_coding,ENSG00000064300
ENSG00000288102,False,ENSG00000288102,NCBITaxon:9606,gene,872,lncRNA,ENSG00000288102
ENSG00000161642,False,ZNF385A,NCBITaxon:9606,gene,1111,protein_coding,ENSG00000161642
ENSG00000198171,False,DDRGK1,NCBITaxon:9606,gene,996,protein_coding,ENSG00000198171
ENSG00000231083,False,ENSG00000231083,NCBITaxon:9606,gene,2379,lncRNA,ENSG00000231083
ENSG00000107821,False,KAZALD1,NCBITaxon:9606,gene,925,protein_coding,ENSG00000107821
ENSG00000287055,False,ENSG00000287055,NCBITaxon:9606,gene,1628,lncRNA,ENSG00000287055
ENSG00000196683,False,TOMM7,NCBITaxon:9606,gene,517,protein_coding,ENSG00000196683
ENSG00000227630,False,LINC01132,NCBITaxon:9606,gene,954,lncRNA,ENSG00000227630
ENSG00000261342,False,ENSG00000261342,NCBITaxon:9606,gene,1585,lncRNA,ENSG00000261342
ENSG00000235279,False,ENSG00000235279,NCBITaxon:9606,gene,400,lncRNA,ENSG00000235279
ENSG00000141179,False,PCTP,NCBITaxon:9606,gene,1914,protein_coding,ENSG00000141179
ENSG00000259460,False,ENSG00000259460,NCBITaxon:9606,gene,515,lncRNA,ENSG00000259460
ENSG00000165983,False,PTER,NCBITaxon:9606,gene,3448,protein_coding,ENSG00000165983
ENSG00000161999,False,JMJD8,NCBITaxon:9606,gene,955,protein_coding,ENSG00000161999
ENSG00000240152,False,LINC02271,NCBITaxon:9606,gene,571,lncRNA,ENSG00000240152
ENSG00000161664,False,ASB16,NCBITaxon:9606,gene,1743,protein_coding,ENSG00000161664
ENSG00000101084,False,RAB5IF,NCBITaxon:9606,gene,1044,protein_coding,ENSG00000101084
ENSG00000120215,False,MLANA,NCBITaxon:9606,gene,791,protein_coding,ENSG00000120215
ENSG00000183397,False,TEKTIP1,NCBITaxon:9606,gene,664,protein_coding,ENSG00000183397
ENSG00000102780,False,DGKH,NCBITaxon:9606,gene,3737,protein_coding,ENSG00000102780
ENSG00000282757,False,DUXB,NCBITaxon:9606,gene,1117,protein_coding,ENSG00000282757
ENSG00000087995,False,METTL2A,NCBITaxon:9606,gene,2353,protein_coding,ENSG00000087995
ENSG00000196391,False,ZNF774,NCBITaxon:9606,gene,599,protein_coding,ENSG00000196391
ENSG00000163082,False,SGPP2,NCBITaxon:9606,gene,4983,protein_coding,ENSG00000163082
ENSG00000189229,False,ENSG00000189229,NCBITaxon:9606,gene,1090,lncRNA,ENSG00000189229
ENSG00000132004,False,FBXW9,NCBITaxon:9606,gene,1581,protein_coding,ENSG00000132004
ENSG00000231496,False,ENSG00000231496,NCBITaxon:9606,gene,438,lncRNA,ENSG00000231496
ENSG00000203737,False,GPR52,NCBITaxon:9606,gene,1582,protein_coding,ENSG00000203737
ENSG00000150907,False,FOXO1,NCBITaxon:9606,gene,500,protein_coding,ENSG00000150907
ENSG00000227769,False,ENSG00000227769,NCBITaxon:9606,gene,661,lncRNA,ENSG00000227769
ENSG00000273584,False,ENSG00000273584,NCBITaxon:9606,gene,552,lncRNA,ENSG00000273584
ENSG00000276488,False,ENSG00000276488,NCBITaxon:9606,gene,608,lncRNA,ENSG00000276488
ENSG00000169031,False,COL4A3,NCBITaxon:9606,gene,2704,protein_coding,ENSG00000169031
ENSG00000276851,False,ENSG00000276851,NCBITaxon:9606,gene,583,lncRNA,ENSG00000276851
ENSG00000126217,False,MCF2L,NCBITaxon:9606,gene,952,protein_coding,ENSG00000126217
ENSG00000277695,False,ENSG00000277695,NCBITaxon:9606,gene,522,lncRNA,ENSG00000277695
ENSG00000250164,False,ENSG00000250164,NCBITaxon:9606,gene,435,lncRNA,ENSG00000250164
ENSG00000256746,False,MADD-AS1,NCBITaxon:9606,gene,457,lncRNA,ENSG00000256746
ENSG00000261156,False,LINC01989,NCBITaxon:9606,gene,602,lncRNA,ENSG00000261156
ENSG00000249345,False,LINC02405,NCBITaxon:9606,gene,1102,lncRNA,ENSG00000249345
ENSG00000163479,False,SSR2,NCBITaxon:9606,gene,872,protein_coding,ENSG00000163479
ENSG00000123607,False,TTC21B,NCBITaxon:9606,gene,5415,protein_coding,ENSG00000123607
ENSG00000223658,False,C1GALT1C1L,NCBITaxon:9606,gene,1279,protein_coding,ENSG00000223658
ENSG00000196504,False,PRPF40A,NCBITaxon:9606,gene,948,protein_coding,ENSG00000196504
ENSG00000180611,False,MB21D2,NCBITaxon:9606,gene,3063,protein_coding,ENSG00000180611
ENSG00000205084,False,TMEM231,NCBITaxon:9606,gene,2592,protein_coding,ENSG00000205084
ENSG00000286584,False,ENSG00000286584,NCBITaxon:9606,gene,691,lncRNA,ENSG00000286584
ENSG00000132950,False,ZMYM5,NCBITaxon:9606,gene,1622,protein_coding,ENSG00000132950
ENSG00000285582,False,ENSG00000285582,NCBITaxon:9606,gene,6449,lncRNA,ENSG00000285582
ENSG00000140718,False,FTO,NCBITaxon:9606,gene,1656,protein_coding,ENSG00000140718
ENSG00000136859,False,ANGPTL2,NCBITaxon:9606,gene,1443,protein_coding,ENSG00000136859
ENSG00000071082,False,RPL31,NCBITaxon:9606,gene,781,protein_coding,ENSG00000071082
ENSG00000228886,False,ENSG00000228886,NCBITaxon:9606,gene,310,lncRNA,ENSG00000228886
ENSG00000287146,False,ENSG00000287146,NCBITaxon:9606,gene,866,lncRNA,ENSG00000287146
ENSG00000246084,False,LINC02325,NCBITaxon:9606,gene,969,lncRNA,ENSG00000246084
ENSG00000242828,False,ENSG00000242828,NCBITaxon:9606,gene,1076,lncRNA,ENSG00000242828
ENSG00000196458,False,ZNF605,NCBITaxon:9606,gene,990,protein_coding,ENSG00000196458
ENSG00000185105,False,MYADML2,NCBITaxon:9606,gene,2452,protein_coding,ENSG00000185105
ENSG00000259296,False,ENSG00000259296,NCBITaxon:9606,gene,387,lncRNA,ENSG00000259296
ENSG00000212124,False,TAS2R19,NCBITaxon:9606,gene,1002,protein_coding,ENSG00000212124
ENSG00000114062,False,UBE3A,NCBITaxon:9606,gene,2598,protein_coding,ENSG00000114062
ENSG00000287748,False,ENSG00000287748,NCBITaxon:9606,gene,603,lncRNA,ENSG00000287748
ENSG00000285577,False,ENSG00000285577,NCBITaxon:9606,gene,1912,lncRNA,ENSG00000285577
ENSG00000234384,False,LINC01049,NCBITaxon:9606,gene,634,lncRNA,ENSG00000234384
ENSG00000165609,False,NUDT5,NCBITaxon:9606,gene,918,protein_coding,ENSG00000165609
ENSG00000240790,False,SND1-DT,NCBITaxon:9606,gene,507,lncRNA,ENSG00000240790
ENSG00000187475,False,H1-6,NCBITaxon:9606,gene,724,protein_coding,ENSG00000187475
ENSG00000265477,False,ENSG00000265477,NCBITaxon:9606,gene,454,lncRNA,ENSG00000265477
ENSG00000234710,False,ENSG00000234710,NCBITaxon:9606,gene,936,lncRNA,ENSG00000234710
ENSG00000198492,False,YTHDF2,NCBITaxon:9606,gene,879,protein_coding,ENSG00000198492
ENSG00000245573,False,BDNF-AS,NCBITaxon:9606,gene,1495,lncRNA,ENSG00000245573
ENSG00000141012,False,GALNS,NCBITaxon:9606,gene,703,protein_coding,ENSG00000141012
ENSG00000267440,False,LINC02594,NCBITaxon:9606,gene,1476,lncRNA,ENSG00000267440
ENSG00000156172,False,CFAP418,NCBITaxon:9606,gene,3340,protein_coding,ENSG00000156172
ENSG00000174428,False,GTF2IRD2B,NCBITaxon:9606,gene,1932,protein_coding,ENSG00000174428
ENSG00000261596,False,ENSG00000261596,NCBITaxon:9606,gene,828,lncRNA,ENSG00000261596
ENSG00000274918,False,ENSG00000274918,NCBITaxon:9606,gene,453,lncRNA,ENSG00000274918
ENSG00000110881,False,ASIC1,NCBITaxon:9606,gene,1481,protein_coding,ENSG00000110881
ENSG00000275025,False,ENSG00000275025,NCBITaxon:9606,gene,440,lncRNA,ENSG00000275025
ENSG00000231755,False,CHODL-AS1,NCBITaxon:9606,gene,1117,lncRNA,ENSG00000231755
ENSG00000154723,False,ATP5PF,NCBITaxon:9606,gene,618,protein_coding,ENSG00000154723
ENSG00000121075,False,TBX4,NCBITaxon:9606,gene,941,protein_coding,ENSG00000121075
ENSG00000134389,False,CFHR5,NCBITaxon:9606,gene,1993,protein_coding,ENSG00000134389
ENSG00000271321,False,CTAGE6,NCBITaxon:9606,gene,2608,protein_coding,ENSG00000271321
ENSG00000279658,False,ENSG00000279658,NCBITaxon:9606,gene,666,lncRNA,ENSG00000279658
ENSG00000112319,False,EYA4,NCBITaxon:9606,gene,1359,protein_coding,ENSG00000112319
ENSG00000284607,False,ENSG00000284607,NCBITaxon:9606,gene,2884,lncRNA,ENSG00000284607
ENSG00000062582,False,MRPS24,NCBITaxon:9606,gene,729,protein_coding,ENSG00000062582
ENSG00000180116,False,REDIC1,NCBITaxon:9606,gene,2776,protein_coding,ENSG00000180116
ENSG00000288018,False,ENSG00000288018,NCBITaxon:9606,gene,1083,lncRNA,ENSG00000288018
ENSG00000240056,False,ENSG00000240056,NCBITaxon:9606,gene,288,lncRNA,ENSG00000240056
ENSG00000235529,False,AGAP1-IT1,NCBITaxon:9606,gene,689,lncRNA,ENSG00000235529
ENSG00000279501,False,ENSG00000279501,NCBITaxon:9606,gene,227,lncRNA,ENSG00000279501
ENSG00000235979,False,ENSG00000235979,NCBITaxon:9606,gene,781,lncRNA,ENSG00000235979
ENSG00000236153,False,UBE2E3-DT,NCBITaxon:9606,gene,525,lncRNA,ENSG00000236153
ENSG00000286322,False,ENSG00000286322,NCBITaxon:9606,gene,856,lncRNA,ENSG00000286322
ENSG00000183978,False,COA3,NCBITaxon:9606,gene,1077,protein_coding,ENSG00000183978
ENSG00000188580,False,NKAIN2,NCBITaxon:9606,gene,907,protein_coding,ENSG00000188580
ENSG00000167797,False,CDK2AP2,NCBITaxon:9606,gene,909,protein_coding,ENSG00000167797
ENSG00000101842,False,VSIG1,NCBITaxon:9606,gene,641,protein_coding,ENSG00000101842
ENSG00000188636,False,RTL6,NCBITaxon:9606,gene,5419,protein_coding,ENSG00000188636
ENSG00000153902,False,LGI4,NCBITaxon:9606,gene,1113,protein_coding,ENSG00000153902
ENSG00000250448,False,MARCHF11-DT,NCBITaxon:9606,gene,676,lncRNA,ENSG00000250448
ENSG00000171806,False,METTL18,NCBITaxon:9606,gene,1426,protein_coding,ENSG00000171806
ENSG00000163762,False,TM4SF18,NCBITaxon:9606,gene,662,protein_coding,ENSG00000163762
ENSG00000253141,False,ENSG00000253141,NCBITaxon:9606,gene,1739,lncRNA,ENSG00000253141
ENSG00000275228,False,ENSG00000275228,NCBITaxon:9606,gene,531,lncRNA,ENSG00000275228
ENSG00000267606,False,ENSG00000267606,NCBITaxon:9606,gene,566,lncRNA,ENSG00000267606
ENSG00000115568,False,ZNF142,NCBITaxon:9606,gene,5854,protein_coding,ENSG00000115568
ENSG00000152520,False,PAN3,NCBITaxon:9606,gene,3691,protein_coding,ENSG00000152520
ENSG00000129480,False,DTD2,NCBITaxon:9606,gene,1768,protein_coding,ENSG00000129480
ENSG00000167363,False,FN3K,NCBITaxon:9606,gene,594,protein_coding,ENSG00000167363
ENSG00000113396,False,SLC27A6,NCBITaxon:9606,gene,2455,protein_coding,ENSG00000113396
ENSG00000136040,False,PLXNC1,NCBITaxon:9606,gene,705,protein_coding,ENSG00000136040
ENSG00000286234,False,ENSG00000286234,NCBITaxon:9606,gene,1387,lncRNA,ENSG00000286234
ENSG00000175206,False,NPPA,NCBITaxon:9606,gene,791,protein_coding,ENSG00000175206
ENSG00000132141,False,CCT6B,NCBITaxon:9606,gene,1680,protein_coding,ENSG00000132141
ENSG00000136448,False,NMT1,NCBITaxon:9606,gene,2873,protein_coding,ENSG00000136448
ENSG00000133135,False,RNF128,NCBITaxon:9606,gene,2654,protein_coding,ENSG00000133135
ENSG00000211895,False,IGHA1,NCBITaxon:9606,gene,1211,IG_C_gene,ENSG00000211895
ENSG00000070540,False,WIPI1,NCBITaxon:9606,gene,828,protein_coding,ENSG00000070540
ENSG00000165269,False,AQP7,NCBITaxon:9606,gene,973,protein_coding,ENSG00000165269
ENSG00000226869,False,LHFPL3-AS1,NCBITaxon:9606,gene,890,lncRNA,ENSG00000226869
ENSG00000088305,False,DNMT3B,NCBITaxon:9606,gene,2315,protein_coding,ENSG00000088305
ENSG00000253967,False,LINC03020,NCBITaxon:9606,gene,1714,lncRNA,ENSG00000253967
ENSG00000234481,False,ENSG00000234481,NCBITaxon:9606,gene,606,lncRNA,ENSG00000234481
ENSG00000174527,False,MYO1H,NCBITaxon:9606,gene,568,protein_coding,ENSG00000174527
ENSG00000235119,False,ENSG00000235119,NCBITaxon:9606,gene,173,lncRNA,ENSG00000235119
ENSG00000156885,False,COX6A2,NCBITaxon:9606,gene,362,protein_coding,ENSG00000156885
ENSG00000275665,False,ENSG00000275665,NCBITaxon:9606,gene,383,lncRNA,ENSG00000275665
ENSG00000166257,False,SCN3B,NCBITaxon:9606,gene,4703,protein_coding,ENSG00000166257
ENSG00000255693,False,LINC02389,NCBITaxon:9606,gene,1682,lncRNA,ENSG00000255693
ENSG00000249112,False,ENSG00000249112,NCBITaxon:9606,gene,832,lncRNA,ENSG00000249112
ENSG00000228784,False,LINC00954,NCBITaxon:9606,gene,1087,lncRNA,ENSG00000228784
ENSG00000251186,False,ENSG00000251186,NCBITaxon:9606,gene,664,lncRNA,ENSG00000251186
ENSG00000285923,False,ENSG00000285923,NCBITaxon:9606,gene,948,lncRNA,ENSG00000285923
ENSG00000286923,False,ENSG00000286923,NCBITaxon:9606,gene,615,lncRNA,ENSG00000286923
ENSG00000204754,False,LINC01951,NCBITaxon:9606,gene,1424,lncRNA,ENSG00000204754
ENSG00000198502,False,HLA-DRB5,NCBITaxon:9606,gene,1196,protein_coding,ENSG00000198502
ENSG00000275139,False,ENSG00000275139,NCBITaxon:9606,gene,3955,lncRNA,ENSG00000275139
ENSG00000169594,False,BNC1,NCBITaxon:9606,gene,4673,protein_coding,ENSG00000169594
ENSG00000188585,False,CLEC20A,NCBITaxon:9606,gene,1158,protein_coding,ENSG00000188585
ENSG00000215424,False,MCM3AP-AS1,NCBITaxon:9606,gene,2063,lncRNA,ENSG00000215424
ENSG00000257756,False,LINC02386,NCBITaxon:9606,gene,554,lncRNA,ENSG00000257756
ENSG00000228878,False,SEPTIN7-DT,NCBITaxon:9606,gene,922,lncRNA,ENSG00000228878
ENSG00000271933,False,ENSG00000271933,NCBITaxon:9606,gene,2163,lncRNA,ENSG00000271933
ENSG00000101193,False,GID8,NCBITaxon:9606,gene,2347,protein_coding,ENSG00000101193
ENSG00000115042,False,FAHD2A,NCBITaxon:9606,gene,944,protein_coding,ENSG00000115042
ENSG00000119927,False,GPAM,NCBITaxon:9606,gene,3089,protein_coding,ENSG00000119927
ENSG00000047617,False,ANO2,NCBITaxon:9606,gene,640,protein_coding,ENSG00000047617
ENSG00000274750,False,H3C6,NCBITaxon:9606,gene,1580,protein_coding,ENSG00000274750
ENSG00000157884,False,CIB4,NCBITaxon:9606,gene,609,protein_coding,ENSG00000157884
ENSG00000108344,False,PSMD3,NCBITaxon:9606,gene,1598,protein_coding,ENSG00000108344
ENSG00000260000,False,ENSG00000260000,NCBITaxon:9606,gene,1340,lncRNA,ENSG00000260000
ENSG00000165244,False,ZNF367,NCBITaxon:9606,gene,3687,protein_coding,ENSG00000165244
ENSG00000159885,False,ZNF222,NCBITaxon:9606,gene,1067,protein_coding,ENSG00000159885
ENSG00000253704,False,VIRMA-DT,NCBITaxon:9606,gene,910,lncRNA,ENSG00000253704
ENSG00000136574,False,GATA4,NCBITaxon:9606,gene,1839,protein_coding,ENSG00000136574
ENSG00000169764,False,UGP2,NCBITaxon:9606,gene,747,protein_coding,ENSG00000169764
ENSG00000157654,False,PALM2AKAP2,NCBITaxon:9606,gene,1418,protein_coding,ENSG00000157654
ENSG00000264290,False,ENSG00000264290,NCBITaxon:9606,gene,465,lncRNA,ENSG00000264290
ENSG00000236347,False,ENSG00000236347,NCBITaxon:9606,gene,1047,lncRNA,ENSG00000236347
ENSG00000174007,False,CEP19,NCBITaxon:9606,gene,1665,protein_coding,ENSG00000174007
ENSG00000229312,False,ENSG00000229312,NCBITaxon:9606,gene,398,lncRNA,ENSG00000229312
ENSG00000181404,False,WASHC1,NCBITaxon:9606,gene,1464,protein_coding,ENSG00000181404
ENSG00000111775,False,COX6A1,NCBITaxon:9606,gene,572,protein_coding,ENSG00000111775
ENSG00000258983,False,ENSG00000258983,NCBITaxon:9606,gene,905,lncRNA,ENSG00000258983
ENSG00000234476,False,LINC02765,NCBITaxon:9606,gene,795,lncRNA,ENSG00000234476
ENSG00000094963,False,FMO2,NCBITaxon:9606,gene,662,protein_coding,ENSG00000094963
ENSG00000234255,False,ENSG00000234255,NCBITaxon:9606,gene,915,lncRNA,ENSG00000234255
ENSG00000272871,False,ENSG00000272871,NCBITaxon:9606,gene,1269,lncRNA,ENSG00000272871
ENSG00000287831,False,ENSG00000287831,NCBITaxon:9606,gene,2518,lncRNA,ENSG00000287831
ENSG00000223935,False,LGALSL-DT,NCBITaxon:9606,gene,696,lncRNA,ENSG00000223935
ENSG00000245849,False,RAD51-AS1,NCBITaxon:9606,gene,1147,lncRNA,ENSG00000245849
ENSG00000198130,False,HIBCH,NCBITaxon:9606,gene,521,protein_coding,ENSG00000198130
ENSG00000188984,False,AADACL3,NCBITaxon:9606,gene,3943,protein_coding,ENSG00000188984
ENSG00000231024,False,ENSG00000231024,NCBITaxon:9606,gene,420,lncRNA,ENSG00000231024
ENSG00000132972,False,RNF17,NCBITaxon:9606,gene,2203,protein_coding,ENSG00000132972
ENSG00000141499,False,WRAP53,NCBITaxon:9606,gene,1783,protein_coding,ENSG00000141499
ENSG00000235984,False,GPC5-AS1,NCBITaxon:9606,gene,386,lncRNA,ENSG00000235984
ENSG00000224152,False,BAZ2B-AS1,NCBITaxon:9606,gene,2704,lncRNA,ENSG00000224152
ENSG00000234684,False,SDCBP2-AS1,NCBITaxon:9606,gene,855,lncRNA,ENSG00000234684
ENSG00000263220,False,ENSG00000263220,NCBITaxon:9606,gene,512,lncRNA,ENSG00000263220
ENSG00000255136,False,TPBGL-AS1,NCBITaxon:9606,gene,495,lncRNA,ENSG00000255136
ENSG00000233960,False,ENSG00000233960,NCBITaxon:9606,gene,738,lncRNA,ENSG00000233960
ENSG00000228486,False,C2orf92,NCBITaxon:9606,gene,723,protein_coding,ENSG00000228486
ENSG00000149932,False,TMEM219,NCBITaxon:9606,gene,979,protein_coding,ENSG00000149932
ENSG00000112081,False,SRSF3,NCBITaxon:9606,gene,1947,protein_coding,ENSG00000112081
ENSG00000180357,False,ZNF609,NCBITaxon:9606,gene,2592,protein_coding,ENSG00000180357
ENSG00000178127,False,NDUFV2,NCBITaxon:9606,gene,643,protein_coding,ENSG00000178127
ENSG00000149926,False,TLCD3B,NCBITaxon:9606,gene,1481,protein_coding,ENSG00000149926
ENSG00000102837,False,OLFM4,NCBITaxon:9606,gene,2843,protein_coding,ENSG00000102837
ENSG00000131050,False,BPIFA2,NCBITaxon:9606,gene,1082,protein_coding,ENSG00000131050
ENSG00000286730,False,ENSG00000286730,NCBITaxon:9606,gene,1156,lncRNA,ENSG00000286730
ENSG00000000005,False,TNMD,NCBITaxon:9606,gene,873,protein_coding,ENSG00000000005
ENSG00000286352,False,ENSG00000286352,NCBITaxon:9606,gene,528,lncRNA,ENSG00000286352
ENSG00000170549,False,IRX1,NCBITaxon:9606,gene,2080,protein_coding,ENSG00000170549
ENSG00000230212,False,CBR1-AS1,NCBITaxon:9606,gene,159,lncRNA,ENSG00000230212
ENSG00000093134,False,VNN3P,NCBITaxon:9606,gene,1505,transcribed_unitary_pseudogene,ENSG00000093134
ENSG00000168268,False,NT5DC2,NCBITaxon:9606,gene,772,protein_coding,ENSG00000168268
ENSG00000184227,False,ACOT1,NCBITaxon:9606,gene,1478,protein_coding,ENSG00000184227
ENSG00000122435,False,TRMT13,NCBITaxon:9606,gene,711,protein_coding,ENSG00000122435
ENSG00000124212,False,PTGIS,NCBITaxon:9606,gene,3456,protein_coding,ENSG00000124212
ENSG00000246560,False,UBE2D3-AS1,NCBITaxon:9606,gene,1059,lncRNA,ENSG00000246560
ENSG00000166396,False,SERPINB7,NCBITaxon:9606,gene,1951,protein_coding,ENSG00000166396
ENSG00000141506,False,PIK3R5,NCBITaxon:9606,gene,1126,protein_coding,ENSG00000141506
ENSG00000006016,False,CRLF1,NCBITaxon:9606,gene,770,protein_coding,ENSG00000006016
ENSG00000154229,False,PRKCA,NCBITaxon:9606,gene,1733,protein_coding,ENSG00000154229
ENSG00000131686,False,CA6,NCBITaxon:9606,gene,864,protein_coding,ENSG00000131686
ENSG00000118705,False,RPN2,NCBITaxon:9606,gene,791,protein_coding,ENSG00000118705
ENSG00000257743,False,MGAM2,NCBITaxon:9606,gene,3784,protein_coding,ENSG00000257743
ENSG00000088386,False,SLC15A1,NCBITaxon:9606,gene,2372,protein_coding,ENSG00000088386
ENSG00000263990,False,ENSG00000263990,NCBITaxon:9606,gene,488,lncRNA,ENSG00000263990
ENSG00000254532,False,ARL14EP-DT,NCBITaxon:9606,gene,623,lncRNA,ENSG00000254532
ENSG00000134954,False,ETS1,NCBITaxon:9606,gene,2134,protein_coding,ENSG00000134954
ENSG00000267283,False,ENSG00000267283,NCBITaxon:9606,gene,564,lncRNA,ENSG00000267283
