receptor,ligand,n_db,m_r_score,m_l_score,m_r_lfc,m_l_lfc,h_r_score,h_l_score,h_r_lfc,h_l_lfc,m_strict,h_strict,conservation,m_mismatch_score,h_mismatch_score,avg_mismatch_score
AVPR1A,AVP,5,-2.29,0.12,-7.66,3.1,-0.03,-0.01,-19.4738,-17.3367,no,no,neither,0.0,0.0,0.0
AVPR1B,AVP,5,,0.12,,3.1,,-0.01,,-17.3367,no_data,no,neither,0.0,0.0,0.0
AVPR2,AVP,5,-0.01,0.12,-1.21,3.1,0.02,-0.01,0.2735,-17.3367,no,trend,human_only,0.0,0.0001,0.0
OXTR,AVP,5,0.34,0.12,1.04,3.1,0.15,-0.01,0.8267,-17.3367,no,trend,human_only,0.0,0.0004,0.0002
ITGAV,AZGP1,4,71.96,,50.48,,1.38,0.14,0.1033,0.5356,no_data,no,neither,0.0,0.0,0.0
CD1A,B2M,4,,,,,-0.01,7.23,-17.2331,0.3989,no_data,no,neither,0.0,0.0,0.0
CD1B,B2M,4,,,,,-0.01,7.23,-17.5435,0.3989,no_data,no,neither,0.0,0.0,0.0
HFE,B2M,3,-18.95,,-32.02,,1.08,7.23,0.6411,0.3989,no_data,no,neither,0.0,0.0,0.0
HLA-F,B2M,4,,,,,0.42,7.23,0.0404,0.3989,no_data,no,neither,0.0,0.0,0.0
LILRB1,B2M,4,,,,,-0.03,7.23,-1.48,0.3989,no_data,no,neither,0.0,0.0,0.0
BEX3,BDNF,3,47.63,52.78,24.28,39.07,6.06,0.61,0.6976,0.6448,no,no,neither,0.0,0.0,0.0
NGFR,BDNF,5,-0.59,52.78,-1.81,39.07,0.17,0.61,0.5396,0.6448,no,no,neither,0.0,0.0,0.0
NTRK2,BDNF,5,-1.66,52.78,-2.84,39.07,0.11,0.61,-0.0339,0.6448,no,no,neither,0.0,0.0,0.0
SORT1,BDNF,5,7.57,52.78,-0.0,39.07,0.35,0.61,-0.0172,0.6448,no,no,neither,0.0,0.0,0.0
TLR2,BGN,4,6.0,,-2.6,,-0.26,3.13,-0.0901,0.5887,no_data,no,neither,0.0,0.0,0.0
TLR4,BGN,4,-0.74,,-7.55,,0.33,3.13,0.322,0.5887,no_data,no,neither,0.0,0.0,0.0
ACVR2A,BMP10,4,12.91,0.02,2.08,21.87,-0.23,8.97,-0.0667,0.5401,no,no,neither,0.0,0.0,0.0
ACVRL1,BMP10,4,12.99,0.02,-22.93,21.87,0.37,8.97,0.8245,0.5401,no,no,neither,0.0,0.0,0.0
BMPR1A,BMP10,4,41.83,0.02,9.56,21.87,-0.18,8.97,-0.031,0.5401,no,no,neither,0.0,0.0,0.0
BMPR1B,BMP10,3,3.49,0.02,2.35,21.87,-7.75,8.97,-0.4775,0.5401,no,no,neither,0.0,0.0,0.0
BMPR2,BMP10,4,44.49,0.02,15.12,21.87,0.67,8.97,0.029,0.5401,no,no,neither,0.0,0.0,0.0
ENG,BMP10,4,-12.61,0.02,-72.96,21.87,4.89,8.97,0.5993,0.5401,no,no,neither,0.0,0.0,0.0
ACVR2A,BMP15,3,12.91,0.19,2.08,0.55,-0.23,-0.0,-0.0667,-15.9282,no,no,neither,0.0,0.0,0.0
BMPR1A,BMP15,3,41.83,0.19,9.56,0.55,-0.18,-0.0,-0.031,-15.9282,no,no,neither,0.0,0.0,0.0
BMPR1B,BMP15,4,3.49,0.19,2.35,0.55,-7.75,-0.0,-0.4775,-15.9282,no,no,neither,0.0,0.0,0.0
BMPR2,BMP15,4,44.49,0.19,15.12,0.55,0.67,-0.0,0.029,-15.9282,no,trend,human_only,0.0,0.0017,0.0008
ACVR1,BMP2,3,54.75,-11.79,21.96,-12.8,0.96,0.2,0.0998,0.0272,yes,no,mouse_only,0.1664,0.0,0.0832
ACVR2A,BMP2,3,12.91,-11.79,2.08,-12.8,-0.23,0.2,-0.0667,0.0272,yes,no,mouse_only,0.0618,0.0,0.0309
ACVR2B,BMP2,4,-2.06,-11.79,-4.41,-12.8,0.47,0.2,0.194,0.0272,no,no,neither,0.0,0.0,0.0
BMPR1A,BMP2,4,41.83,-11.79,9.56,-12.8,-0.18,0.2,-0.031,0.0272,yes,no,mouse_only,0.1341,0.0,0.067
BMPR1B,BMP2,4,3.49,-11.79,2.35,-12.8,-7.75,0.2,-0.4775,0.0272,yes,no,mouse_only,0.0382,0.0,0.0191
BMPR2,BMP2,4,44.49,-11.79,15.12,-12.8,0.67,0.2,0.029,0.0272,yes,no,mouse_only,0.1407,0.0,0.0704
ENG,BMP2,4,-12.61,-11.79,-72.96,-12.8,4.89,0.2,0.5993,0.0272,no,no,neither,0.0,0.0,0.0
HJV,BMP2,4,-2.44,-11.79,-6.31,-12.8,0.25,0.2,0.3307,0.0272,no,no,neither,0.0,0.0,0.0
ACVR2B,BMP3,3,-2.06,0.06,-4.41,-0.13,0.47,2.03,0.194,1.5626,no,no,neither,0.0,0.0,0.0
BMPR1A,BMP4,4,41.83,-38.65,9.56,-73.53,-0.18,3.78,-0.031,0.7596,yes,no,mouse_only,0.2012,0.0,0.1006
BMPR1B,BMP4,4,3.49,-38.65,2.35,-73.53,-7.75,3.78,-0.4775,0.7596,yes,no,mouse_only,0.1053,0.0,0.0527
BMPR2,BMP4,4,44.49,-38.65,15.12,-73.53,0.67,3.78,0.029,0.7596,yes,no,mouse_only,0.2078,0.0,0.1039
BMPR1A,BMP5,3,41.83,0.15,9.56,-1.51,-0.18,0.26,-0.031,0.9028,no,no,neither,0.0,0.0,0.0
HJV,BMP5,3,-2.44,0.15,-6.31,-1.51,0.25,0.26,0.3307,0.9028,no,no,neither,0.0,0.0,0.0
ACVR1,BMP6,4,54.75,-9.31,21.96,-20.73,0.96,-0.28,0.0998,-0.463,yes,trend,CONSERVED_relaxed,0.1602,0.0031,0.0816
ACVR2A,BMP6,4,12.91,-9.31,2.08,-20.73,-0.23,-0.28,-0.0667,-0.463,yes,no,mouse_only,0.0556,0.0,0.0278
BMPR1A,BMP6,4,41.83,-9.31,9.56,-20.73,-0.18,-0.28,-0.031,-0.463,yes,no,mouse_only,0.1279,0.0,0.0639
BMPR1B,BMP6,4,3.49,-9.31,2.35,-20.73,-7.75,-0.28,-0.4775,-0.463,yes,no,mouse_only,0.032,0.0,0.016
BMPR2,BMP6,4,44.49,-9.31,15.12,-20.73,0.67,-0.28,0.029,-0.463,yes,trend,CONSERVED_relaxed,0.1345,0.0024,0.0684
ACVR1,BMP7,4,54.75,-2.82,21.96,-3.08,0.96,0.19,0.0998,0.1084,yes,no,mouse_only,0.1439,0.0,0.072
ACVR2A,BMP7,4,12.91,-2.82,2.08,-3.08,-0.23,0.19,-0.0667,0.1084,yes,no,mouse_only,0.0393,0.0,0.0197
ACVR2B,BMP7,4,-2.06,-2.82,-4.41,-3.08,0.47,0.19,0.194,0.1084,no,no,neither,0.0,0.0,0.0
BMPR1A,BMP7,4,41.83,-2.82,9.56,-3.08,-0.18,0.19,-0.031,0.1084,yes,no,mouse_only,0.1116,0.0,0.0558
BMPR1B,BMP7,4,3.49,-2.82,2.35,-3.08,-7.75,0.19,-0.4775,0.1084,yes,no,mouse_only,0.0158,0.0,0.0079
BMPR2,BMP7,4,44.49,-2.82,15.12,-3.08,0.67,0.19,0.029,0.1084,yes,no,mouse_only,0.1183,0.0,0.0591
ENG,BMP7,4,-12.61,-2.82,-72.96,-3.08,4.89,0.19,0.5993,0.1084,no,no,neither,0.0,0.0,0.0
CAV1,BST1,3,13.03,-2.43,-61.47,-3.0,3.54,-0.23,0.2573,-0.1534,yes,trend,CONSERVED_relaxed,0.0387,0.0094,0.024
LILRA4,BST2,3,,73.08,,165.88,0.03,0.67,2.2623,0.3573,no_data,no,neither,0.0,0.0,0.0
EGFR,BTC,5,36.78,-0.78,9.12,-1.9,-0.87,-0.49,-0.0943,-0.4203,trend,no,mouse_only,0.0939,0.0,0.047
ERBB2,BTC,4,13.67,-0.78,1.35,-1.9,2.14,-0.49,0.3404,-0.4203,trend,trend,CONSERVED_relaxed,0.0361,0.0066,0.0214
ERBB3,BTC,4,0.05,-0.78,-0.74,-1.9,0.01,-0.49,-0.0146,-0.4203,trend,trend,CONSERVED_relaxed,0.0021,0.0013,0.0017
ERBB4,BTC,5,-0.17,-0.78,-1.86,-1.9,-2.58,-0.49,-0.0342,-0.4203,no,no,neither,0.0,0.0,0.0
CD79A,BTLA,4,0.09,0.04,-3.09,-1.11,-0.03,0.11,-18.843,0.8886,no,no,neither,0.0,0.0,0.0
TNFRSF14,BTLA,5,1.63,0.04,0.06,-1.11,-0.64,0.11,-0.4215,0.8886,no,no,neither,0.0,0.0,0.0
VTCN1,BTLA,4,-3.75,0.04,-2.74,-1.11,0.25,0.11,1.2775,0.8886,no,no,neither,0.0,0.0,0.0
CD93,C1QA,4,-3.02,-0.25,-15.73,-36.25,0.72,1.72,0.5064,0.7392,no,no,neither,0.0,0.0,0.0
CR1,C1QA,3,,-0.25,,-36.25,0.36,1.72,1.0482,0.7392,no_data,no,neither,0.0,0.0,0.0
CSPG4,C1QA,4,15.89,-0.25,0.76,-36.25,0.3,1.72,0.3859,0.7392,trend,no,mouse_only,0.0404,0.0,0.0202
LRP1,C1QB,4,-46.22,0.2,-169.36,-38.83,11.54,1.98,0.9567,1.168,no,no,neither,0.0,0.0,0.0
AVPR2,C1QTNF1,4,-0.01,-10.8,-1.21,-18.24,0.02,5.64,0.2735,0.7575,no,no,neither,0.0,0.0,0.0
MFRP,C1QTNF5,3,50.63,50.68,20.1,20.16,,,,,no,no,neither,0.0,0.0,0.0
C3AR1,C3,5,-0.61,-61.46,-4.44,-434.58,0.24,16.42,0.67,0.734,no,no,neither,0.0,0.0,0.0
C5AR2,C3,5,1.75,-61.46,0.05,-434.58,0.09,16.42,0.4191,0.734,trend,no,mouse_only,0.158,0.0,0.079
CD19,C3,4,0.06,-61.46,-1.04,-434.58,-0.02,16.42,-18.5065,0.734,trend,no,mouse_only,0.1538,0.0,0.0769
CD46,C3,4,2.09,-61.46,-0.22,-434.58,1.37,16.42,0.0935,0.734,trend,no,mouse_only,0.1589,0.0,0.0794
CR1,C3,4,,-61.46,,-434.58,0.36,16.42,1.0482,0.734,no_data,no,neither,0.0,0.0,0.0
ITGAM,C3,4,-0.35,-61.46,-2.12,-434.58,0.34,16.42,0.6314,0.734,no,no,neither,0.0,0.0,0.0
ITGAX,C3,4,-0.05,-61.46,-1.96,-434.58,0.09,16.42,0.505,0.734,no,no,neither,0.0,0.0,0.0
ITGB2,C3,4,-0.42,-61.46,-1.87,-434.58,0.28,16.42,0.6003,0.734,no,no,neither,0.0,0.0,0.0
LRP1,C3,4,-46.22,-61.46,-169.36,-434.58,11.54,16.42,0.9567,0.734,no,no,neither,0.0,0.0,0.0
C3AR1,C4A,4,-0.61,,-4.44,,0.24,-0.03,0.67,-18.6844,no_data,trend,human_only,0.0,0.0007,0.0003
C5AR2,C4A,5,1.75,,0.05,,0.09,-0.03,0.4191,-18.6844,no_data,trend,human_only,0.0,0.0003,0.0001
CR1,C4A,4,,,,,0.36,-0.03,1.0482,-18.6844,no_data,trend,human_only,0.0,0.001,0.0005
CD46,C4B,4,2.09,3.98,-0.22,-38.02,1.37,-0.05,0.0935,-20.2079,no,trend,human_only,0.0,0.0036,0.0018
CR1,C4B,4,,3.98,,-38.02,0.36,-0.05,1.0482,-20.2079,no_data,trend,human_only,0.0,0.001,0.0005
BMPR2,C4BPA,4,44.49,,15.12,,0.67,0.79,0.029,1.9872,no_data,no,neither,0.0,0.0,0.0
CD40,C4BPA,4,-8.21,,-11.34,,0.4,0.79,0.2553,1.9872,no_data,no,neither,0.0,0.0,0.0
LRP1,C4BPA,4,-46.22,,-169.36,,11.54,0.79,0.9567,1.9872,no_data,no,neither,0.0,0.0,0.0
C5AR1,C5,5,-1.01,,-4.71,,0.51,0.68,0.4965,0.1703,no_data,no,neither,0.0,0.0,0.0
C5AR2,C5,5,1.75,,0.05,,0.09,0.68,0.4191,0.1703,no_data,no,neither,0.0,0.0,0.0
CALCR,CALCA,5,-0.01,-1.12,-1.89,-2.96,0.15,0.04,0.5591,19.517,no,no,neither,0.0,0.0,0.0
CALCRL,CALCA,4,-7.86,-1.12,-21.28,-2.96,1.6,0.04,0.2452,19.517,no,no,neither,0.0,0.0,0.0
RAMP1,CALCA,4,1.36,-1.12,-7.4,-2.96,2.92,0.04,0.5577,19.517,trend,no,mouse_only,0.0062,0.0,0.0031
RAMP2,CALCA,4,-108.39,-1.12,-349.87,-2.96,0.66,0.04,0.2429,19.517,no,no,neither,0.0,0.0,0.0
CALCR,CALCB,5,-0.01,-1.67,-1.89,-0.07,0.15,-0.08,0.5591,-0.3523,no,trend,human_only,0.0,0.0006,0.0003
CALCRL,CALCB,4,-7.86,-1.67,-21.28,-0.07,1.6,-0.08,0.2452,-0.3523,no,trend,human_only,0.0,0.0042,0.0021
RAMP1,CALCB,4,1.36,-1.67,-7.4,-0.07,2.92,-0.08,0.5577,-0.3523,trend,trend,CONSERVED_relaxed,0.0076,0.0075,0.0075
ITGA2B,CALR,3,14.9,81.49,2.76,inf,0.84,8.55,0.92,0.7971,no,no,neither,0.0,0.0,0.0
ITGA3,CALR,4,-2.54,81.49,-1.81,inf,3.94,8.55,0.3865,0.7971,no,no,neither,0.0,0.0,0.0
ITGAV,CALR,4,71.96,81.49,50.48,inf,1.38,8.55,0.1033,0.7971,no,no,neither,0.0,0.0,0.0
LRP1,CALR,4,-46.22,81.49,-169.36,inf,11.54,8.55,0.9567,0.7971,no,no,neither,0.0,0.0,0.0
MTNR1A,CALR,4,3.9,81.49,6.81,inf,0.02,8.55,1.038,0.7971,no,no,neither,0.0,0.0,0.0
SCARF1,CALR,4,-1.69,81.49,-5.37,inf,0.14,8.55,0.2218,0.7971,no,no,neither,0.0,0.0,0.0
TSHR,CALR,4,0.45,81.49,0.65,inf,1.7,8.55,1.2325,0.7971,no,no,neither,0.0,0.0,0.0
FPR2,CAMP,4,-0.03,1.59,-1.93,-0.35,-0.09,-0.01,-0.4192,-16.5894,no,no,neither,0.0,0.0,0.0
CCKAR,CCK,5,,0.88,,1.78,-0.01,0.02,-17.5033,1.4336,no_data,no,neither,0.0,0.0,0.0
CCKBR,CCK,5,-0.01,0.88,-0.5,1.78,0.06,0.02,0.9366,1.4336,no,no,neither,0.0,0.0,0.0
CCR8,CCL1,5,,0.05,,4.37,-0.0,,-16.5845,,no_data,no,neither,0.0,0.0,0.0
ACKR2,CCL11,5,-10.37,-21.33,-11.23,-95.7,0.08,0.02,1.6637,0.8332,no,no,neither,0.0,0.0,0.0
ACKR4,CCL11,4,-23.12,-21.33,-53.5,-95.7,0.56,0.02,0.7192,0.8332,no,no,neither,0.0,0.0,0.0
CCR2,CCL11,4,-0.19,-21.33,-3.47,-95.7,0.0,0.02,-0.1161,0.8332,no,no,neither,0.0,0.0,0.0
CCR3,CCL11,5,-0.01,-21.33,-0.28,-95.7,0.04,0.02,0.7289,0.8332,no,no,neither,0.0,0.0,0.0
CCR5,CCL11,4,-0.37,-21.33,-1.97,-95.7,-0.04,0.02,-19.9691,0.8332,no,no,neither,0.0,0.0,0.0
CXCR3,CCL11,4,-0.11,-21.33,-5.2,-95.7,0.07,0.02,2.4483,0.8332,no,no,neither,0.0,0.0,0.0
ACKR2,CCL13,5,-10.37,,-11.23,,0.08,0.12,1.6637,1.8729,no_data,no,neither,0.0,0.0,0.0
ACKR4,CCL13,4,-23.12,,-53.5,,0.56,0.12,0.7192,1.8729,no_data,no,neither,0.0,0.0,0.0
CCR1,CCL13,3,-0.19,,-2.44,,-0.02,0.12,-0.4906,1.8729,no_data,no,neither,0.0,0.0,0.0
CCR2,CCL13,5,-0.19,,-3.47,,0.0,0.12,-0.1161,1.8729,no_data,no,neither,0.0,0.0,0.0
CCR3,CCL13,5,-0.01,,-0.28,,0.04,0.12,0.7289,1.8729,no_data,no,neither,0.0,0.0,0.0
CCR5,CCL13,4,-0.37,,-1.97,,-0.04,0.12,-19.9691,1.8729,no_data,no,neither,0.0,0.0,0.0
CXCR3,CCL13,4,-0.11,,-5.2,,0.07,0.12,2.4483,1.8729,no_data,no,neither,0.0,0.0,0.0
ACKR2,CCL14,5,-10.37,,-11.23,,0.08,1.67,1.6637,0.8621,no_data,no,neither,0.0,0.0,0.0
CCR1,CCL14,5,-0.19,,-2.44,,-0.02,1.67,-0.4906,0.8621,no_data,no,neither,0.0,0.0,0.0
CCR3,CCL14,5,-0.01,,-0.28,,0.04,1.67,0.7289,0.8621,no_data,no,neither,0.0,0.0,0.0
CCR5,CCL14,4,-0.37,,-1.97,,-0.04,1.67,-19.9691,0.8621,no_data,no,neither,0.0,0.0,0.0
CCR1,CCL15,5,-0.19,,-2.44,,-0.02,,-0.4906,,no_data,no,neither,0.0,0.0,0.0
CCR3,CCL15,5,-0.01,,-0.28,,0.04,,0.7289,,no_data,no,neither,0.0,0.0,0.0
CCR1,CCL16,5,-0.19,,-2.44,,-0.02,-0.02,-0.4906,-18.373,no_data,no,neither,0.0,0.0,0.0
CCR2,CCL16,5,-0.19,,-3.47,,0.0,-0.02,-0.1161,-18.373,no_data,trend,human_only,0.0,0.0,0.0
CCR5,CCL16,4,-0.37,,-1.97,,-0.04,-0.02,-19.9691,-18.373,no_data,no,neither,0.0,0.0,0.0
CCR8,CCL16,5,,,,,-0.0,-0.02,-16.5845,-18.373,no_data,no,neither,0.0,0.0,0.0
HRH4,CCL16,5,,,,,0.04,-0.02,0.1515,-18.373,no_data,trend,human_only,0.0,0.0002,0.0001
ACKR1,CCL17,4,-2.03,9.2,-2.78,6.03,-0.03,0.12,-1.64,1.4924,no,no,neither,0.0,0.0,0.0
CCR4,CCL17,5,0.0,9.2,-1.56,6.03,0.04,0.12,1.6815,1.4924,no,no,neither,0.0,0.0,0.0
CCR8,CCL17,4,,9.2,,6.03,-0.0,0.12,-16.5845,1.4924,no_data,no,neither,0.0,0.0,0.0
CCR8,CCL18,3,,,,,-0.0,0.04,-16.5845,1.0914,no_data,no,neither,0.0,0.0,0.0
ACKR2,CCL19,4,-10.37,-32.01,-11.23,-119.85,0.08,0.03,1.6637,0.6735,no,no,neither,0.0,0.0,0.0
ACKR4,CCL19,5,-23.12,-32.01,-53.5,-119.85,0.56,0.03,0.7192,0.6735,no,no,neither,0.0,0.0,0.0
CCR10,CCL19,4,0.03,-32.01,-0.45,-119.85,0.13,0.03,0.2108,0.6735,trend,no,mouse_only,0.0801,0.0,0.0401
CCR7,CCL19,5,-0.11,-32.01,-3.35,-119.85,0.02,0.03,0.5457,0.6735,no,no,neither,0.0,0.0,0.0
CCRL2,CCL19,5,-8.82,-32.01,-13.59,-119.85,0.05,0.03,1.1154,0.6735,no,no,neither,0.0,0.0,0.0
CXCR3,CCL19,4,-0.11,-32.01,-5.2,-119.85,0.07,0.03,2.4483,0.6735,no,no,neither,0.0,0.0,0.0
ACKR1,CCL2,5,-2.03,7.84,-2.78,-58.36,-0.03,-0.68,-1.64,-0.4837,no,no,neither,0.0,0.0,0.0
ACKR2,CCL2,5,-10.37,7.84,-11.23,-58.36,0.08,-0.68,1.6637,-0.4837,no,trend,human_only,0.0,0.0019,0.0009
ACKR4,CCL2,4,-23.12,7.84,-53.5,-58.36,0.56,-0.68,0.7192,-0.4837,no,trend,human_only,0.0,0.0031,0.0015
CCR1,CCL2,4,-0.19,7.84,-2.44,-58.36,-0.02,-0.68,-0.4906,-0.4837,no,no,neither,0.0,0.0,0.0
CCR10,CCL2,4,0.03,7.84,-0.45,-58.36,0.13,-0.68,0.2108,-0.4837,no,trend,human_only,0.0,0.002,0.001
CCR2,CCL2,5,-0.19,7.84,-3.47,-58.36,0.0,-0.68,-0.1161,-0.4837,no,trend,human_only,0.0,0.0017,0.0009
CCR3,CCL2,4,-0.01,7.84,-0.28,-58.36,0.04,-0.68,0.7289,-0.4837,no,trend,human_only,0.0,0.0018,0.0009
CCR4,CCL2,4,0.0,7.84,-1.56,-58.36,0.04,-0.68,1.6815,-0.4837,no,trend,human_only,0.0,0.0018,0.0009
CCR5,CCL2,4,-0.37,7.84,-1.97,-58.36,-0.04,-0.68,-19.9691,-0.4837,no,no,neither,0.0,0.0,0.0
CCR6,CCL20,5,0.01,0.13,0.24,4.74,0.11,-0.01,0.9048,-17.467,no,trend,human_only,0.0,0.0003,0.0001
CXCR3,CCL20,4,-0.11,0.13,-5.2,4.74,0.07,-0.01,2.4483,-17.467,no,trend,human_only,0.0,0.0002,0.0001
ACKR2,CCL21,4,-10.37,,-11.23,,0.08,-0.02,1.6637,-0.0911,no_data,trend,human_only,0.0,0.0002,0.0001
ACKR4,CCL21,5,-23.12,,-53.5,,0.56,-0.02,0.7192,-0.0911,no_data,trend,human_only,0.0,0.0014,0.0007
CCR7,CCL21,5,-0.11,,-3.35,,0.02,-0.02,0.5457,-0.0911,no_data,trend,human_only,0.0,0.0001,0.0
CXCR3,CCL21,3,-0.11,,-5.2,,0.07,-0.02,2.4483,-0.0911,no_data,trend,human_only,0.0,0.0002,0.0001
CCR4,CCL22,5,0.0,0.0,-1.56,-3.64,0.04,0.09,1.6815,1.7687,no,no,neither,0.0,0.0,0.0
CCR1,CCL23,5,-0.19,,-2.44,,-0.02,-0.01,-0.4906,-17.5666,no_data,no,neither,0.0,0.0,0.0
CCR2,CCL24,4,-0.19,-0.76,-3.47,-2.68,0.0,0.05,-0.1161,1.1781,no,no,neither,0.0,0.0,0.0
CCR3,CCL24,5,-0.01,-0.76,-0.28,-2.68,0.04,0.05,0.7289,1.1781,no,no,neither,0.0,0.0,0.0
ACKR2,CCL25,4,-10.37,17.12,-11.23,2.0,0.08,-0.01,1.6637,0.1178,no,trend,human_only,0.0,0.0002,0.0001
ACKR4,CCL25,5,-23.12,17.12,-53.5,2.0,0.56,-0.01,0.7192,0.1178,no,trend,human_only,0.0,0.0014,0.0007
CCR10,CCL25,4,0.03,17.12,-0.45,2.0,0.13,-0.01,0.2108,0.1178,no,trend,human_only,0.0,0.0003,0.0002
CCR9,CCL25,5,-0.06,17.12,-1.22,2.0,0.06,-0.01,0.7304,0.1178,no,trend,human_only,0.0,0.0002,0.0001
CCR1,CCL26,5,-0.19,,-2.44,,-0.02,0.06,-0.4906,0.3031,no_data,no,neither,0.0,0.0,0.0
CCR2,CCL26,5,-0.19,,-3.47,,0.0,0.06,-0.1161,0.3031,no_data,no,neither,0.0,0.0,0.0
CCR3,CCL26,5,-0.01,,-0.28,,0.04,0.06,0.7289,0.3031,no_data,no,neither,0.0,0.0,0.0
ACKR2,CCL27,4,-10.37,,-11.23,,0.08,0.15,1.6637,1.7743,no_data,no,neither,0.0,0.0,0.0
CCR10,CCL27,5,0.03,,-0.45,,0.13,0.15,0.2108,1.7743,no_data,no,neither,0.0,0.0,0.0
ACKR2,CCL28,4,-10.37,0.0,-11.23,-0.97,0.08,0.44,1.6637,0.3867,no,no,neither,0.0,0.0,0.0
CCR10,CCL28,5,0.03,0.0,-0.45,-0.97,0.13,0.44,0.2108,0.3867,no,no,neither,0.0,0.0,0.0
CCR3,CCL28,4,-0.01,0.0,-0.28,-0.97,0.04,0.44,0.7289,0.3867,no,no,neither,0.0,0.0,0.0
ACKR2,CCL3,5,-10.37,-0.44,-11.23,-3.83,0.08,-0.12,1.6637,-21.3065,no,trend,human_only,0.0,0.0005,0.0002
CCR1,CCL3,5,-0.19,-0.44,-2.44,-3.83,-0.02,-0.12,-0.4906,-21.3065,no,no,neither,0.0,0.0,0.0
CCR3,CCL3,5,-0.01,-0.44,-0.28,-3.83,0.04,-0.12,0.7289,-21.3065,no,trend,human_only,0.0,0.0004,0.0002
CCR4,CCL3,4,0.0,-0.44,-1.56,-3.83,0.04,-0.12,1.6815,-21.3065,trend,trend,CONSERVED_relaxed,0.0011,0.0004,0.0008
CCR5,CCL3,5,-0.37,-0.44,-1.97,-3.83,-0.04,-0.12,-19.9691,-21.3065,no,no,neither,0.0,0.0,0.0
ACKR2,CCL3L1,4,-10.37,,-11.23,,0.08,,1.6637,,no_data,no_data,neither,0.0,0.0,0.0
CCR1,CCL3L1,4,-0.19,,-2.44,,-0.02,,-0.4906,,no_data,no_data,neither,0.0,0.0,0.0
CCR3,CCL3L1,4,-0.01,,-0.28,,0.04,,0.7289,,no_data,no_data,neither,0.0,0.0,0.0
CCR5,CCL3L1,4,-0.37,,-1.97,,-0.04,,-19.9691,,no_data,no_data,neither,0.0,0.0,0.0
ACKR2,CCL4,5,-10.37,0.57,-11.23,-0.91,0.08,0.03,1.6637,0.2965,no,no,neither,0.0,0.0,0.0
CCR1,CCL4,4,-0.19,0.57,-2.44,-0.91,-0.02,0.03,-0.4906,0.2965,no,no,neither,0.0,0.0,0.0
CCR3,CCL4,4,-0.01,0.57,-0.28,-0.91,0.04,0.03,0.7289,0.2965,no,no,neither,0.0,0.0,0.0
CCR5,CCL4,5,-0.37,0.57,-1.97,-0.91,-0.04,0.03,-19.9691,0.2965,no,no,neither,0.0,0.0,0.0
CCR8,CCL4,4,,0.57,,-0.91,-0.0,0.03,-16.5845,0.2965,no_data,no,neither,0.0,0.0,0.0
ACKR1,CCL5,5,-2.03,4.4,-2.78,10.94,-0.03,0.16,-1.64,0.4816,no,no,neither,0.0,0.0,0.0
ACKR2,CCL5,5,-10.37,4.4,-11.23,10.94,0.08,0.16,1.6637,0.4816,no,no,neither,0.0,0.0,0.0
ACKR4,CCL5,3,-23.12,4.4,-53.5,10.94,0.56,0.16,0.7192,0.4816,no,no,neither,0.0,0.0,0.0
CCR1,CCL5,5,-0.19,4.4,-2.44,10.94,-0.02,0.16,-0.4906,0.4816,no,no,neither,0.0,0.0,0.0
CCR3,CCL5,5,-0.01,4.4,-0.28,10.94,0.04,0.16,0.7289,0.4816,no,no,neither,0.0,0.0,0.0
CCR4,CCL5,5,0.0,4.4,-1.56,10.94,0.04,0.16,1.6815,0.4816,no,no,neither,0.0,0.0,0.0
CCR5,CCL5,5,-0.37,4.4,-1.97,10.94,-0.04,0.16,-19.9691,0.4816,no,no,neither,0.0,0.0,0.0
CXCR3,CCL5,4,-0.11,4.4,-5.2,10.94,0.07,0.16,2.4483,0.4816,no,no,neither,0.0,0.0,0.0
GPR75,CCL5,5,0.24,4.4,0.57,10.94,,0.16,,0.4816,no,no,neither,0.0,0.0,0.0
SDC1,CCL5,4,89.79,4.4,53.42,10.94,0.23,0.16,3.2825,0.4816,no,no,neither,0.0,0.0,0.0
SDC4,CCL5,4,10.67,4.4,-41.42,10.94,4.42,0.16,0.6729,0.4816,no,no,neither,0.0,0.0,0.0
ACKR1,CCL7,4,-2.03,1.61,-2.78,-33.04,-0.03,-0.01,-1.64,-16.9899,no,no,neither,0.0,0.0,0.0
ACKR2,CCL7,5,-10.37,1.61,-11.23,-33.04,0.08,-0.01,1.6637,-16.9899,no,trend,human_only,0.0,0.0002,0.0001
ACKR4,CCL7,4,-23.12,1.61,-53.5,-33.04,0.56,-0.01,0.7192,-16.9899,no,trend,human_only,0.0,0.0014,0.0007
CCR1,CCL7,5,-0.19,1.61,-2.44,-33.04,-0.02,-0.01,-0.4906,-16.9899,no,no,neither,0.0,0.0,0.0
CCR10,CCL7,4,0.03,1.61,-0.45,-33.04,0.13,-0.01,0.2108,-16.9899,no,trend,human_only,0.0,0.0003,0.0002
CCR2,CCL7,5,-0.19,1.61,-3.47,-33.04,0.0,-0.01,-0.1161,-16.9899,no,trend,human_only,0.0,0.0,0.0
CCR3,CCL7,5,-0.01,1.61,-0.28,-33.04,0.04,-0.01,0.7289,-16.9899,no,trend,human_only,0.0,0.0001,0.0001
CCR5,CCL7,5,-0.37,1.61,-1.97,-33.04,-0.04,-0.01,-19.9691,-16.9899,no,no,neither,0.0,0.0,0.0
